location,continent,Days,total_cases,total_cases_per_million,people_vaccinated,Total vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,Vaccinations performed as a percentage of population per day,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Latvia,Europe,48,"92,274","48,921","72,981","82,393",4.83,0.96,69.44,"1,886,202",0.0910%,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,8165760.244
Lebanon,Asia,21,"408,909","59,910","76,883","60,740",1.35,0.22,92.59,"6,825,442",0.0424%,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,10668985.03
Liechtenstein,Europe,29,"2,596","68,070",,"2,628",8.2,,,"38,137",0.2376%,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,8070144.428
Lithuania,Europe,70,"203,992","74,934","241,746","313,208",12.24,3.36,87.04,"2,722,291",0.1644%,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,8265579.422
Luxembourg,Europe,65,"57,321","91,571","36,693","50,192",8.22,2.36,80.56,"625,976",0.1234%,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,7694757.389
Macao,Asia,10,,,,"2,699",0.31,,23.15,"649,342",0.0416%,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,12744458
Malaysia,Asia,10,"319,364","9,867","223,923","98,334",0.69,,80.09,"32,365,998",0.0304%,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,15070494.47
Maldives,Asia,33,"21,268","39,346",,"145,768",34.58,,,"540,542",0.8172%,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,15390723.7
Malta,Europe,48,"25,640","58,070","72,725","92,806",24.68,8.21,87.04,"441,539",0.4379%,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,9163380.841
Mauritius,Africa,23,664,522,"3,843","3,251",0.3,,82.41,"1,271,767",0.0111%,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,16830576.67
Mexico,North America,73,"2,150,955","16,683","2,882,000","2,753,351",2.95,0.47,82.41,"128,932,753",0.0293%,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,1632411.333
Monaco,Europe,19,"2,075","52,874",,"2,394",6.12,,87.96,"39,244",0.3211%,19347.5,,,,,,,5.46,,,,13.8,86.75,,8158434.137
Mongolia,Asia,4,"3,664","1,118",,"4,928",0.15,,90.74,"3,278,292",0.0376%,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,10478635.12
Montenegro,Europe,13,"82,029","130,607","3,062","2,392",0.49,,,"628,062",0.0293%,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,8980436.402
Montserrat,North America,15,,,652,645,13.04,,,"4,999",0.8602%,,,,,,,,,,,,,74.16,,3986712.653
Morocco,Africa,37,"487,750","13,214","4,130,606","4,794,633",13.82,2.63,93.52,"36,910,558",0.3511%,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,7837652.074
Myanmar,Asia,7,"142,114","2,612","103,142","82,823",0.19,,86.11,"54,409,794",0.0217%,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,13341043.25
Nepal,Asia,25,"275,070","9,441",,"413,141",1.38,,96.3,"29,136,808",0.0567%,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,12733462.13
Netherlands,Europe,43,"1,154,257","67,363","1,207,904","1,228,099",9.45,2.4,82.41,"17,134,873",0.1667%,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,7506098.102
New Zealand,Oceania,13,"2,417",501,"18,000","3,929",0.37,,96.3,"4,822,233",0.0063%,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,12550022.43
Northern Cyprus,,8,,,,"8,846",2.88,,,,#DIV/0!,,,,,,,,,,,,,,,NULL
Norway,Europe,68,"78,041","14,395","428,995","578,241",12.17,4.26,79.63,"5,421,242",0.1569%,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,7186814.578
Oman,Asia,58,"145,257","28,445","79,149","76,326",1.92,0.37,100,"5,106,622",0.0258%,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,12852654.52
Pakistan,Asia,19,"600,198","2,717","72,882","68,606",0.03,,96.3,"220,892,331",0.0016%,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,12353579.48
