location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Guinea-Bissau,Africa,3380,1717.481,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,8385913.906
Guyana,"South America",8993,11433.344,1852,0.24,,87.04,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,5176527.176
Haiti,"North America",12594,1104.491,,,,93.52,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,3041081.639
Honduras,"North America",176427,17812.618,2684,0.03,,100,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,2607527.54
"Hong Kong",Asia,,,145800,1.94,,71.3,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,12699526.44
Hungary,Europe,489172,50637.089,1229827,16.37,3.64,76.85,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,8652064.765
Iceland,Europe,6070,17787.546,33289,13.5,3.74,53.7,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,5713534.307
India,Asia,11308846,8194.79,21435841,1.9,0.34,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,13576677.18
Indonesia,Asia,1403722,5131.996,3696059,1.82,0.47,80.09,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,14961838.9
International,,721,,,,,,,,,,,,,,,,,,,,,NULL
