location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Norway,Europe,78041,14395.41,428995,12.17,4.26,79.63,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,7186814.578
Oman,Asia,145257,28444.831,79149,1.92,0.37,100,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,12852654.52
Pakistan,Asia,600198,2717.152,72882,0.03,,96.3,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,12353579.48
Panama,"North America",346775,80369.327,,5.21,,93.52,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,3513502.171
Paraguay,"South America",175827,24651.421,4356,0.06,,94.44,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,7780536.045
Peru,"South America",1387457,42080.052,355825,1.34,0.26,96.3,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,5580340.687
Philippines,Asia,607048,5539.715,114500,0.1,,100,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,13216165.09
Poland,Europe,1849424,48866.312,2835856,11.6,4.11,83.33,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,8279744.141
Portugal,Europe,812575,79689.943,772343,10.58,3.01,87.96,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,7317499.558
Qatar,Asia,168829,58599.613,100000,11.35,,86.11,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,12255717.8
Romania,Europe,845352,43942.508,1296161,10.24,3.5,87.04,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,9045865.199
Russia,Europe,4311893,29546.777,5366009,4.98,1.31,87.04,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,8886096.375
Rwanda,Africa,19945,1539.892,230000,1.78,,90.74,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,13228887.83
"Saint Helena",Africa,,,,1.76,,,6071,,,,,,,,,,,,,80.56,,11237498.81
"San Marino",Europe,4062,119688.844,3668,10.81,,92.59,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,8467522.955
"Saudi Arabia",Asia,381348,10953.911,,5.28,,94.44,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,12089243.38
Senegal,Africa,36371,2172.19,68205,0.41,,77.78,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,8276950.426
Serbia,Europe,503291,73963.392,1161194,26.85,9.79,100,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,8976467.097
Seychelles,Africa,3132,31848.688,60439,88.81,27.35,93.52,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,15371402.66
Singapore,Asia,60070,10267.774,392620,10.45,3.74,76.85,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,15289904.25
Slovakia,Europe,331571,60731.26,388584,10.93,3.82,87.04,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,8549993.874
Slovenia,Europe,198234,95353.768,154916,10.76,3.31,89.81,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,8466651.573
"South Africa",Africa,1525648,25723.853,138014,0.23,0.23,87.96,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,14398743.72
"South Korea",Asia,94686,1846.84,546277,1.07,,82.41,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,10742654.67
Spain,Europe,3204531,68539.105,3668848,11.06,3.22,85.19,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,7588925.1
"Sri Lanka",Asia,86989,4062.391,,3.51,,100,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,15002015.43
Sweden,Europe,707192,70024.071,722519,10.4,3.24,69.44,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,7667467.302
Switzerland,Europe,569312,65781.297,616913,10.96,3.83,73.15,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8011214.857
Thailand,Asia,26598,381.06,,0.05,,76.85,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,13871481.45
"Trinidad and Tobago","North America",7753,5539.871,440,0.03,,90.74,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,4527480.217
Turkey,Asia,2835989,33626.042,7807838,12.45,3.2,80.09,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,10181664.51
"Turks and Caicos Islands","North America",,,6433,16.62,,,38718,37.312,,,,,,,,,,,,80.22,,2866459.697
Ukraine,Europe,1474452,33714.276,38237,0.09,,88.89,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,9158483.69
"United Arab Emirates",Asia,419996,42465.017,3480415,64.78,22.12,89.81,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,12569102
"United Kingdom",Europe,4254714,62674.392,23053716,35.95,1.99,87.96,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,6830409.647
"United States","North America",29286134,88477.039,64071674,29.36,10.13,75.46,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,0
Uruguay,"South America",67717,19494.048,170134,4.9,,72.22,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,8780558.986
Venezuela,"South America",144277,5073.755,12194,0.04,,90.74,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,4507978.135
Zimbabwe,Africa,36377,2447.499,36019,0.24,,87.96,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,14330315.14
